image,surface_surface_polys,area_px
20260317-124051.03000_0000001988_right.jpg,1,9155783.5
20260317-124052.20000_0000001991_left.jpg,1,4453826.0
20260317-124052.20000_0000001991_right.jpg,1,8988563.0
20260317-124053.37000_0000001994_left.jpg,1,5640686.5
20260317-124053.37000_0000001994_right.jpg,1,8439424.5
20260317-124054.57000_0000001997_left.jpg,1,5388750.0
20260317-124054.57000_0000001997_right.jpg,1,8650450.0
20260317-124055.78000_0000002000_left.jpg,1,6128415.5
20260317-124055.78000_0000002000_right.jpg,1,7237062.5
20260317-124057.01000_0000002003_left.jpg,1,6835616.0
20260317-124057.01000_0000002003_right.jpg,1,8996150.5
20260317-124058.23000_0000002006_left.jpg,1,5417806.0
20260317-124058.23000_0000002006_right.jpg,1,9736688.0
20260317-124059.42000_0000002009_left.jpg,1,5246950.5
20260317-124059.42000_0000002009_right.jpg,1,8385540.0
20260317-124100.57000_0000002012_left.jpg,1,5169588.5
20260317-124100.57000_0000002012_right.jpg,1,8247129.5
20260317-124101.70000_0000002015_left.jpg,1,5342345.5
20260317-124101.70000_0000002015_right.jpg,1,8265585.0
20260317-124102.79000_0000002018_left.jpg,1,5215564.5
20260317-124102.79000_0000002018_right.jpg,1,8372807.5
20260317-124103.87000_0000002021_left.jpg,1,5190385.0
20260317-124103.87000_0000002021_right.jpg,1,8212659.5
20260317-124104.97000_0000002024_left.jpg,1,5345073.0
20260317-124104.97000_0000002024_right.jpg,1,8479123.5
20260317-124106.11000_0000002027_left.jpg,1,5525917.0
20260317-124106.11000_0000002027_right.jpg,1,8491430.0
20260317-124107.28000_0000002030_left.jpg,1,5327760.0
20260317-124107.28000_0000002030_right.jpg,1,8041809.0
20260317-124108.45000_0000002033_left.jpg,1,5450940.0
20260317-124108.45000_0000002033_right.jpg,1,8109183.0
20260317-124109.59000_0000002036_left.jpg,1,5375329.0
20260317-124109.59000_0000002036_right.jpg,1,8293952.0
20260317-124110.70000_0000002039_left.jpg,1,5267146.0
20260317-124110.70000_0000002039_right.jpg,1,8304079.5
20260317-124111.79000_0000002042_left.jpg,1,5332256.5
20260317-124111.79000_0000002042_right.jpg,1,8209528.0
20260317-124112.87000_0000002045_left.jpg,1,5665557.0
20260317-124112.87000_0000002045_right.jpg,1,8284850.5
20260317-124113.93000_0000002048_left.jpg,1,5929158.0
20260317-124113.93000_0000002048_right.jpg,1,9032570.0
20260317-124114.98000_0000002051_left.jpg,1,5105348.0
20260317-124114.98000_0000002051_right.jpg,1,8423930.0
20260317-124116.01000_0000002054_left.jpg,1,5134718.5
20260317-124116.01000_0000002054_right.jpg,1,8021810.0
20260317-124117.02000_0000002057_left.jpg,1,5110980.5
20260317-124117.02000_0000002057_right.jpg,1,8208287.5
20260317-124118.00000_0000002060_left.jpg,1,5134586.5
20260317-124118.00000_0000002060_right.jpg,1,8286739.0
20260317-124118.96000_0000002063_left.jpg,1,4407991.5
20260317-124118.96000_0000002063_right.jpg,1,8106242.5
20260317-124119.90000_0000002066_left.jpg,1,5152722.0
20260317-124119.90000_0000002066_right.jpg,1,8290800.0
20260317-124120.82000_0000002069_left.jpg,1,5287368.5
20260317-124120.82000_0000002069_right.jpg,1,8022765.0
20260317-124121.72000_0000002072_left.jpg,1,5062470.0
20260317-124121.72000_0000002072_right.jpg,1,7925971.5
20260317-124122.64000_0000002075_left.jpg,1,4874067.0
20260317-124122.64000_0000002075_right.jpg,1,8138704.5
20260317-124123.63000_0000002078_left.jpg,1,5111754.0
20260317-124123.63000_0000002078_right.jpg,1,7799903.5
20260317-124124.73000_0000002081_left.jpg,1,4726959.0
20260317-124124.73000_0000002081_right.jpg,1,7951042.5
20260317-124125.93000_0000002084_left.jpg,1,4809839.0
20260317-124125.93000_0000002084_right.jpg,1,7982489.5
20260317-124127.19000_0000002087_left.jpg,1,5012149.5
20260317-124127.19000_0000002087_right.jpg,1,7837735.0
20260317-124128.45000_0000002090_left.jpg,1,5889745.5
20260317-124128.45000_0000002090_right.jpg,1,8844220.5
20260317-124129.71000_0000002093_left.jpg,1,5072294.5
